=== BUDGET-LIMITED RUN: time_limit=28800s ===
start=1786082276
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 3740/200000 (1.9%)  ok=3740 fail=0  elapsed=4338s  eta=227653s
progress: 3760/200000 (1.9%)  ok=3760 fail=0  elapsed=4361s  eta=227587s
progress: 3780/200000 (1.9%)  ok=3780 fail=0  elapsed=4385s  eta=227628s
progress: 3800/200000 (1.9%)  ok=3800 fail=0  elapsed=4408s  eta=227586s
progress: 3820/200000 (1.9%)  ok=3820 fail=0  elapsed=4432s  eta=227602s
progress: 3840/200000 (1.9%)  ok=3840 fail=0  elapsed=4456s  eta=227651s
progress: 3860/200000 (1.9%)  ok=3860 fail=0  elapsed=4480s  eta=227649s
progress: 3880/200000 (1.9%)  ok=3880 fail=0  elapsed=4503s  eta=227625s
progress: 3900/200000 (1.9%)  ok=3900 fail=0  elapsed=4526s  eta=227567s
progress: 3920/200000 (2.0%)  ok=3920 fail=0  elapsed=4550s  eta=227575s
progress: 3940/200000 (2.0%)  ok=3940 fail=0  elapsed=4573s  eta=227551s
progress: 3960/200000 (2.0%)  ok=3960 fail=0  elapsed=4596s  eta=227526s
progress: 3980/200000 (2.0%)  ok=3980 fail=0  elapsed=4619s  eta=227500s
progress: 4000/200000 (2.0%)  ok=4000 fail=0  elapsed=4642s  eta=227470s
progress: 4020/200000 (2.0%)  ok=4020 fail=0  elapsed=4665s  eta=227416s
progress: 4040/200000 (2.0%)  ok=4040 fail=0  elapsed=4687s  eta=227356s
progress: 4060/200000 (2.0%)  ok=4060 fail=0  elapsed=4710s  eta=227321s
progress: 4080/200000 (2.0%)  ok=4080 fail=0  elapsed=4733s  eta=227296s
progress: 4100/200000 (2.1%)  ok=4100 fail=0  elapsed=4756s  eta=227259s
progress: 4120/200000 (2.1%)  ok=4120 fail=0  elapsed=4780s  eta=227243s
progress: 4140/200000 (2.1%)  ok=4140 fail=0  elapsed=4802s  eta=227160s
progress: 4160/200000 (2.1%)  ok=4160 fail=0  elapsed=4824s  eta=227100s
progress: 4180/200000 (2.1%)  ok=4180 fail=0  elapsed=4849s  eta=227137s
progress: 4200/200000 (2.1%)  ok=4200 fail=0  elapsed=4872s  eta=227134s
progress: 4220/200000 (2.1%)  ok=4220 fail=0  elapsed=4895s  eta=227093s
progress: 4240/200000 (2.1%)  ok=4240 fail=0  elapsed=4918s  eta=227046s
progress: 4260/200000 (2.1%)  ok=4260 fail=0  elapsed=4939s  eta=226953s
progress: 4280/200000 (2.1%)  ok=4280 fail=0  elapsed=4962s  eta=226913s
progress: 4300/200000 (2.1%)  ok=4300 fail=0  elapsed=4985s  eta=226874s
progress: 4320/200000 (2.2%)  ok=4320 fail=0  elapsed=5009s  eta=226869s
progress: 4340/200000 (2.2%)  ok=4340 fail=0  elapsed=5033s  eta=226891s
progress: 4360/200000 (2.2%)  ok=4360 fail=0  elapsed=5055s  eta=226842s
progress: 4380/200000 (2.2%)  ok=4380 fail=0  elapsed=5079s  eta=226847s
progress: 4400/200000 (2.2%)  ok=4400 fail=0  elapsed=5103s  eta=226868s
progress: 4420/200000 (2.2%)  ok=4420 fail=0  elapsed=5127s  eta=226867s
progress: 4440/200000 (2.2%)  ok=4440 fail=0  elapsed=5150s  eta=226852s
